aisle_a,department_a,aisle_b,department_b,co_orders,share_of_orders,lift
asian foods,international,soy lactosefree,dairy eggs,35146,1.0932310255394146,1.4952033295571594
frozen meat seafood,frozen,laundry,household,2543,0.07910107830042483,1.4950237486662974
marinades meat preparation,pantry,lunch meat,deli,9071,0.28215724784237267,1.4946444124233063
frozen meals,frozen,skin care,personal care,1015,0.03157199940028754,1.4945697057936402
specialty cheeses,dairy eggs,condiments,pantry,6885,0.2141608038137731,1.494460657701969
frozen pizza,frozen,cleaning products,household,5694,0.17711425082289384,1.494360869513121
eggs,dairy eggs,doughs gelatins bake mixes,pantry,18314,0.5696646276028237,1.4943133719322936
laundry,household,frozen pizza,frozen,5150,0.16019290336106484,1.4941648990763536
spreads,pantry,frozen produce,frozen,46002,1.4309114447409137,1.494109685336129
marinades meat preparation,pantry,frozen breads doughs,frozen,1063,0.03306505947044892,1.4939207828402836
dog food care,pets,cereal,breakfast,3586,0.1115440294083065,1.4934159315458437
buns rolls,bakery,frozen breads doughs,frozen,1901,0.05913139986201637,1.4933469443064367
oral hygiene,personal care,cookies cakes,snacks,4908,0.1526653921740012,1.49304497148918
tofu meat alternatives,deli,baby food formula,babies,7308,0.22731839568207027,1.4929767371971314
honeys syrups nectars,pantry,dry pasta,dry goods pasta,6822,0.2122011624716863,1.4929670996944118
packaged meat,meat,oils vinegars,pantry,3375,0.10498078618322211,1.4927448218825152
hair care,personal care,cookies cakes,snacks,2237,0.06958282035314603,1.4927361399331274
oils vinegars,pantry,trash bags liners,household,3096,0.09630237452540907,1.492558780926472
honeys syrups nectars,pantry,other creams cheeses,dairy eggs,8353,0.2598235576262087,1.4924407373339383
candy chocolate,snacks,baking supplies decor,pantry,2149,0.06684554355785016,1.4923211247760666
soap,personal care,candy chocolate,snacks,5688,0.17692761831412368,1.4919724995216046
canned meat seafood,canned goods,bread,bakery,14984,0.4660835852353778,1.4915613028178674
diapers wipes,babies,dry pasta,dry goods pasta,2327,0.07238230798469862,1.491492047244265
oils vinegars,pantry,latino foods,international,6860,0.21338316836056406,1.4914154899148035
specialty cheeses,dairy eggs,hot dogs bacon sausage,meat,9675,0.3009449203919034,1.491331560690385
seafood counter,seafood,tortillas flat bread,bakery,2461,0.07655043401389915,1.4911175956490752
frozen produce,frozen,packaged vegetables fruits,produce,216432,6.732207856357668,1.4909699154068685
buns rolls,bakery,trash bags liners,household,1484,0.04616044050248937,1.4905787218601179
popcorn jerky,snacks,food storage,household,3793,0.11798285096087746,1.4904494320234882
fresh dips tapenades,deli,packaged vegetables fruits,produce,172164,5.3552332066513335,1.4904470158948293
marinades meat preparation,pantry,oral hygiene,personal care,1507,0.046875865119441695,1.4899150789803524
spices seasonings,pantry,nuts seeds dried fruit,snacks,20115,0.6256854856520038,1.4898613662491185
instant foods,dry goods pasta,yogurt,dairy eggs,64984,2.021354491653483,1.4898408622073878
refrigerated,beverages,frozen breakfast,frozen,39376,1.2248069442223863,1.4897471390769725
ice cream ice,frozen,candy chocolate,snacks,36542,1.1366541892466082,1.4895914057223243
grains rice dried goods,dry goods pasta,spreads,pantry,15179,0.47214914177040845,1.4895571960976548
milk,dairy eggs,bread,bakery,191953,5.970778325993491,1.4894522602246454
eggs,dairy eggs,pickled goods olives,pantry,20896,0.6499788172102546,1.489382940418981
instant foods,dry goods pasta,tofu meat alternatives,deli,8132,0.25294926021984065,1.489172745025418
prepared meals,deli,crackers,snacks,14977,0.4658658473084793,1.4891286793304876
frozen meals,frozen,ice cream toppings,snacks,1116,0.03471364663125211,1.488963465201564
trash bags liners,household,salad dressing toppings,pantry,1233,0.038352980552270474,1.4889272317278126
plates bowls cups flatware,household,cereal,breakfast,4928,0.15328750053656845,1.4887830664390582
frozen vegan vegetarian,frozen,cereal,breakfast,10785,0.3354719345143853,1.4887166150187292
fruit vegetable snacks,snacks,energy sports drinks,beverages,5332,0.16585408946042676,1.4886894082912936
frozen breakfast,frozen,laundry,household,7332,0.22806492571715098,1.4885898236367876
frozen pizza,frozen,pickled goods olives,pantry,6564,0.20417596459456885,1.4883256198542647
packaged poultry,meat,asian foods,international,7352,0.2286870340797182,1.4882666575327599
cookies cakes,snacks,laundry,household,7030,0.21867108944238564,1.4879872984024354
asian foods,international,food storage,household,3588,0.11160624024456323,1.4878347013942892
hot dogs bacon sausage,meat,cereal,breakfast,37174,1.1563128135037328,1.487344332976402
packaged seafood,seafood,oils vinegars,pantry,2071,0.06441932094383793,1.4871129223453492
bulk grains rice dried goods,bulk,packaged vegetables fruits,produce,9176,0.2854233167458507,1.4870871664072456
popcorn jerky,snacks,ice cream ice,frozen,23844,0.7416775898526661,1.4870019237875605
dish detergents,household,crackers,snacks,15004,0.46670569359794506,1.4869823905491386
frozen breakfast,frozen,facial care,personal care,1017,0.03163421023654426,1.4869788927210834
dog food care,pets,juice nectars,beverages,3457,0.10753143046974781,1.4863573609051246
pasta sauce,dry goods pasta,fruit vegetable snacks,snacks,13667,0.42511774956032494,1.4862369863918916
popcorn jerky,snacks,doughs gelatins bake mixes,pantry,6043,0.18797004174969223,1.4860242016179666
pickled goods olives,pantry,frozen produce,frozen,18732,0.582666692380479,1.485837429668762
frozen meals,frozen,hot dogs bacon sausage,meat,29690,0.923519864231071,1.4857744911807982
seafood counter,seafood,pickled goods olives,pantry,1389,0.043205425780294966,1.4855241974590696
soap,personal care,dry pasta,dry goods pasta,5753,0.1789494704924672,1.4854346122023645
frozen breads doughs,frozen,spices seasonings,pantry,3030,0.09424941692893718,1.4853818586283036
dish detergents,household,frozen pizza,frozen,5629,0.17509239864455028,1.4852078902019918
oils vinegars,pantry,poultry counter,meat,12494,0.38863109409575614,1.485191363319512
dish detergents,household,spreads,pantry,10167,0.31624878611105756,1.484823652583903
kosher foods,international,eggs,dairy eggs,2157,0.06709438690287706,1.484725806000433
frozen meals,frozen,baby food formula,babies,16289,0.5066761558928904,1.4846529152339598
milk,dairy eggs,yogurt,dairy eggs,307443,9.563143065638032,1.4845275511339266
frozen meals,frozen,first aid,personal care,1050,0.03266068903478021,1.4839069017095001
vitamins supplements,personal care,juice nectars,beverages,5319,0.16544971902475805,1.4836907472868546
frozen vegan vegetarian,frozen,canned jarred vegetables,canned goods,8552,0.26601353583375276,1.483566023982423
instant foods,dry goods pasta,milk,dairy eggs,60043,1.867662620681246,1.4835609804358132
frozen vegan vegetarian,frozen,crackers,snacks,13323,0.41441748572416837,1.4834428432196178
fresh pasta,dry goods pasta,dish detergents,household,1386,0.04311210952590988,1.4831679217188813
refrigerated pudding desserts,dairy eggs,spreads,pantry,3685,0.11462346580301437,1.4831653838595948
frozen produce,frozen,meat counter,meat,12606,0.39211490092613277,1.4829717837431327
fresh pasta,dry goods pasta,paper goods,household,3176,0.09879080797567806,1.4827047510921394
indian foods,international,fresh vegetables,produce,8710,0.2709281918980339,1.4825395822620295
latino foods,international,frozen meals,frozen,7446,0.23161094338378427,1.482202721210061
baby food formula,babies,hot dogs bacon sausage,meat,18485,0.5749836541027735,1.4818288184761292
pasta sauce,dry goods pasta,soap,personal care,5035,0.1566157802763032,1.4816277344291815
breakfast bars pastries,breakfast,tortillas flat bread,bakery,4934,0.15347413304533863,1.481353131207253
dog food care,pets,packaged poultry,meat,1372,0.04267663367211281,1.4812062921459668
oral hygiene,personal care,hot cereal pancake mixes,breakfast,3728,0.11596099878253394,1.4812042924178603
granola,breakfast,protein meal replacements,personal care,1357,0.04221005240018738,1.4803238331172472
latino foods,international,butter,dairy eggs,7514,0.2337261118165129,1.4801713738855764
prepared meals,deli,frozen meat seafood,frozen,2759,0.08581984861615105,1.4798808771554335
indian foods,international,eggs,dairy eggs,2682,0.08342473142026717,1.4798091697794897
laundry,household,salad dressing toppings,pantry,3201,0.09956844342888711,1.479732380939036
pasta sauce,dry goods pasta,food storage,household,5135,0.15972632208913942,1.479638667206127
grains rice dried goods,dry goods pasta,frozen appetizers sides,frozen,10021,0.31170739506431666,1.4796021446215004
preserved dips spreads,pantry,asian foods,international,6507,0.20240295576125222,1.4792529228933369
poultry counter,meat,condiments,pantry,10972,0.34128864770438905,1.4790475267096128
specialty cheeses,dairy eggs,cream,dairy eggs,10473,0.32576704405833634,1.4788080587445382
frozen vegan vegetarian,frozen,vitamins supplements,personal care,1442,0.044854012941098156,1.4786435506222628
tofu meat alternatives,deli,spreads,pantry,12198,0.379423890329761,1.4784170594534543
breakfast bars pastries,breakfast,cream,dairy eggs,8036,0.24996314007951786,1.4783287807010148
eggs,dairy eggs,hot cereal pancake mixes,breakfast,29422,0.91518361217267,1.4781935255016063
pasta sauce,dry goods pasta,oils vinegars,pantry,19940,0.6202420374795404,1.478028714849213
oral hygiene,personal care,pickled goods olives,pantry,2622,0.08155840633256545,1.4779367777948853
canned meat seafood,canned goods,nuts seeds dried fruit,snacks,7303,0.22716286859142845,1.4778512097248728
dish detergents,household,spices seasonings,pantry,6772,0.2106458915652682,1.47776935912998
instant foods,dry goods pasta,honeys syrups nectars,pantry,4920,0.15303865719154158,1.4772025365842032
kosher foods,international,breakfast bakery,bakery,1076,0.03346942990611763,1.4768175930520637
oils vinegars,pantry,frozen produce,frozen,39563,1.23062365741239,1.4767100382664304
paper goods,household,doughs gelatins bake mixes,pantry,8290,0.25786391628412186,1.476659321606217
cookies cakes,snacks,spreads,pantry,21798,0.6780359043620372,1.4764449337433045
frozen meat seafood,frozen,bread,bakery,16539,0.5144525104249809,1.4763717379697021
asian foods,international,fresh vegetables,produce,90784,2.8238742793652256,1.4763277755494846
crackers,snacks,plates bowls cups flatware,household,6058,0.18843662302161765,1.4762737384407925
fruit vegetable snacks,snacks,protein meal replacements,personal care,2225,0.06920955533560569,1.4758108558327037
packaged cheese,dairy eggs,condiments,pantry,65008,2.022101021688564,1.4757220045820896
frozen meals,frozen,paper goods,household,22012,0.6846924638415067,1.475702910594809
canned meat seafood,canned goods,doughs gelatins bake mixes,pantry,2516,0.07826123201095907,1.4756813124963837
frozen meals,frozen,feminine care,personal care,1817,0.05651854473923395,1.475589854156986
cold flu allergy,personal care,frozen meals,frozen,2293,0.07132472376833432,1.4745972675339707
frozen breakfast,frozen,milk,dairy eggs,71320,2.218438420914785,1.47451846306659
refrigerated pudding desserts,dairy eggs,condiments,pantry,2811,0.08743733035882588,1.4744450610337783
honeys syrups nectars,pantry,canned meals beans,canned goods,6641,0.20657108179045278,1.4743303934015444
kitchen supplies,household,other creams cheeses,dairy eggs,1119,0.0348069628856372,1.4742445029884006
condiments,pantry,bread,bakery,46386,1.4428559253022046,1.4740244386944241
pasta sauce,dry goods pasta,chips pretzels,snacks,49141,1.5285513522458423,1.473405073823991
frozen produce,frozen,nuts seeds dried fruit,snacks,47028,1.462825603740613,1.473351543147735
packaged poultry,meat,eggs,dairy eggs,23147,0.7199971134171976,1.4732868207955963
prepared soups salads,deli,frozen breads doughs,frozen,1133,0.035242438739434265,1.4730927872910993
frozen breakfast,frozen,fresh dips tapenades,deli,28547,0.887966371310353,1.47308655779866
baking ingredients,pantry,first aid,personal care,1082,0.0336560624148878,1.4730477934349682
pasta sauce,dry goods pasta,fresh vegetables,produce,130339,4.054249093432589,1.472857857560848
condiments,pantry,frozen pizza,frozen,12171,0.37858404404029516,1.4726174101390292
energy granola bars,snacks,soy lactosefree,dairy eggs,69526,2.162635300792504,1.472534502137901
frozen pizza,frozen,food storage,household,3550,0.11042423435568546,1.4724281467835947
instant foods,dry goods pasta,fresh dips tapenades,deli,23876,0.7426729632327737,1.4724260770322688
popcorn jerky,snacks,tea,beverages,12172,0.37861514945842356,1.4722348995211099
energy granola bars,snacks,prepared meals,deli,11174,0.34757194216631815,1.4721893452070787
butter,dairy eggs,salad dressing toppings,pantry,9557,0.29727448105275667,1.4721169601243496
tofu meat alternatives,deli,packaged cheese,dairy eggs,35831,1.1145382369573427,1.4720253553148608
prepared soups salads,deli,bread,bakery,15232,0.4737977289312116,1.4718765673468943
crackers,snacks,body lotions soap,personal care,5994,0.18644587626140247,1.4715726376829303
marinades meat preparation,pantry,eggs,dairy eggs,11770,0.366110771370822,1.4714475032274161
cookies cakes,snacks,bread,bakery,45781,1.4240371473345457,1.4713429687807664
food storage,household,frozen appetizers sides,frozen,4259,0.1324779758086942,1.4711580049799582
dog food care,pets,chips pretzels,snacks,6393,0.19885693809461893,1.4711470451488944
refrigerated,beverages,breakfast bakery,bakery,43411,1.3503173063703273,1.4711324305012938
soap,personal care,pickled goods olives,pantry,2569,0.07990981917176225,1.4709628149702942
condiments,pantry,cleaning products,household,7770,0.24168909885737355,1.4709596444695854
ice cream ice,frozen,salad dressing toppings,pantry,14023,0.4361912784140218,1.4707908132070804
packaged cheese,dairy eggs,soup broth bouillon,canned goods,90380,2.8113076904413674,1.4705750197288152
juice nectars,beverages,frozen dessert,frozen,2472,0.07689259361331113,1.470345909645672
honeys syrups nectars,pantry,soup broth bouillon,canned goods,7921,0.24638601699475626,1.4703080752929578
hair care,personal care,tortillas flat bread,bakery,2099,0.06529027265143206,1.4703039795511685
frozen meals,frozen,canned meat seafood,canned goods,6660,0.20716208473489164,1.4701776592571751
baby food formula,babies,breakfast bakery,bakery,14987,0.4661769014897629,1.4700807300153111
oral hygiene,personal care,soft drinks,beverages,7082,0.22028857118506046,1.4699132413482259
oral hygiene,personal care,juice nectars,beverages,7332,0.22806492571715098,1.469797228158243
frozen meals,frozen,frozen produce,frozen,43003,1.3376262957739558,1.46965300132764
preserved dips spreads,pantry,plates bowls cups flatware,household,1671,0.051977153692493075,1.4696519285501257
prepared soups salads,deli,crackers,snacks,10632,0.33071280554074595,1.4693258083255354
